UTC Timestamp,CAN Interface,Message ID (Hex),Message ID (Decimal),Data Payload (Hex),Data Payload (Decimal)
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,320,800,0000000000000069,105
2018-07-13 08:48:19,can0,322,802,0000030000000069,3298534883433
2018-07-13 08:48:19,can0,320,800,0000000000000069,105
2018-07-13 08:48:19,can0,5A0,1440,0180000000000000,108086391056891904
2018-07-13 08:48:19,can0,727,1831,04010100020000,1127003713568768
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,324,804,0000000000000069,105
2018-07-13 08:48:19,can0,320,800,0000000000000069,105
2018-07-13 08:48:19,can0,324,804,0000000000000069,105
2018-07-13 08:48:19,can0,5A0,1440,0180000000000000,108086391056891904
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,324,804,0000000000000069,105
2018-07-13 08:48:19,can0,320,800,0000000000000069,105
2018-07-13 08:48:19,can0,324,804,0000000000000069,105
2018-07-13 08:48:19,can0,5A0,1440,0180000000000000,108086391056891904
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,320,800,0000000000000069,105
2018-07-13 08:48:19,can0,324,804,0000000000000069,105
2018-07-13 08:48:19,can0,322,802,0000030000000069,3298534883433
2018-07-13 08:48:19,can0,5A0,1440,0180000000000000,108086391056891904
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,320,800,0000000000000069,105
2018-07-13 08:48:19,can0,324,804,0000000000000069,105
2018-07-13 08:48:19,can0,1A0,416,0080000000000000,36028797018963968
2018-07-13 08:48:19,can0,5A0,1440,0180000000000000,108086391056891904
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,322,802,0000030000000069,3298534883433
2018-07-13 08:48:19,can0,320,800,0000000000000069,105
2018-07-13 08:48:19,can0,324,804,0000000000000069,105
2018-07-13 08:48:19,can0,1A0,416,0080000000000000,36028797018963968
2018-07-13 08:48:19,can0,5A0,1440,0180000000000000,108086391056891904
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,322,802,0000030000000069,3298534883433
2018-07-13 08:48:19,can0,322,802,0000030000000069,3298534883433
2018-07-13 08:48:19,can0,324,804,0000000000000069,105
2018-07-13 08:48:19,can0,1A0,416,0080000000000000,36028797018963968
2018-07-13 08:48:19,can0,5A0,1440,0180000000000000,108086391056891904
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,320,800,0000000000000069,105
2018-07-13 08:48:19,can0,324,804,0000000000000069,105
2018-07-13 08:48:19,can0,1A0,416,0080000000000000,36028797018963968
2018-07-13 08:48:19,can0,5A0,1440,0180000000000000,108086391056891904
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,324,804,0000000000000069,105
2018-07-13 08:48:19,can0,322,802,0000030000000069,3298534883433
2018-07-13 08:48:19,can0,320,800,0000000000000069,105
2018-07-13 08:48:19,can0,5A0,1440,0180000000000000,108086391056891904
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,320,800,0000000000000069,105
2018-07-13 08:48:19,can0,322,802,0000030000000069,3298534883433
2018-07-13 08:48:19,can0,320,800,0000000000000069,105
2018-07-13 08:48:19,can0,280,640,490E00000E001B0E,5264145014677576462
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,324,804,0000000000000069,105
2018-07-13 08:48:19,can0,320,800,0000000000000069,105
2018-07-13 08:48:19,can0,324,804,0000000000000069,105
2018-07-13 08:48:19,can0,5A0,1440,0180000000000000,108086391056891904
2018-07-13 08:48:19,can0,727,1831,04010100020000,1127003713568768
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,322,802,0000030000000069,3298534883433
2018-07-13 08:48:19,can0,324,804,0000000000000069,105
2018-07-13 08:48:19,can0,322,802,0000030000000069,3298534883433
2018-07-13 08:48:19,can0,5A0,1440,0180000000000000,108086391056891904
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,322,802,0000030000000069,3298534883433
2018-07-13 08:48:19,can0,324,804,0000000000000069,105
2018-07-13 08:48:19,can0,1A0,416,0080000000000000,36028797018963968
2018-07-13 08:48:19,can0,5A0,1440,0180000000000000,108086391056891904
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,320,800,0000000000000069,105
2018-07-13 08:48:19,can0,320,800,0000000000000069,105
2018-07-13 08:48:19,can0,324,804,0000000000000069,105
2018-07-13 08:48:19,can0,5A0,1440,0180000000000000,108086391056891904
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,322,802,0000030000000069,3298534883433
2018-07-13 08:48:19,can0,320,800,0000000000000069,105
2018-07-13 08:48:19,can0,320,800,0000000000000069,105
2018-07-13 08:48:19,can0,5A0,1440,0180000000000000,108086391056891904
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,320,800,0000000000000069,105
2018-07-13 08:48:19,can0,322,802,0000030000000069,3298534883433
2018-07-13 08:48:19,can0,320,800,0000000000000069,105
2018-07-13 08:48:19,can0,280,640,490E00000E001B0E,5264145014677576462
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,324,804,0000000000000069,105
2018-07-13 08:48:19,can0,320,800,0000000000000069,105
2018-07-13 08:48:19,can0,324,804,0000000000000069,105
2018-07-13 08:48:19,can0,5A0,1440,0180000000000000,108086391056891904
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,322,802,0000030000000069,3298534883433
2018-07-13 08:48:19,can0,320,800,0000000000000069,105
2018-07-13 08:48:19,can0,320,800,0000000000000069,105
2018-07-13 08:48:19,can0,5A0,1440,0180000000000000,108086391056891904
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,320,800,0000000000000069,105
2018-07-13 08:48:19,can0,322,802,0000030000000069,3298534883433
2018-07-13 08:48:19,can0,320,800,0000000000000069,105
2018-07-13 08:48:19,can0,280,640,490E00000E001B0E,5264145014677576462
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,324,804,0000000000000069,105
2018-07-13 08:48:19,can0,324,804,0000000000000069,105
2018-07-13 08:48:19,can0,320,800,0000000000000069,105
2018-07-13 08:48:19,can0,5A0,1440,0180000000000000,108086391056891904
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,322,802,0000030000000069,3298534883433
2018-07-13 08:48:19,can0,324,804,0000000000000069,105
2018-07-13 08:48:19,can0,320,800,0000000000000069,105
2018-07-13 08:48:19,can0,5A0,1440,0180000000000000,108086391056891904
2018-07-13 08:48:19,can0,727,1831,04010100020000,1127003713568768
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,320,800,0000000000000069,105
2018-07-13 08:48:19,can0,324,804,0000000000000069,105
2018-07-13 08:48:19,can0,322,802,0000030000000069,3298534883433
2018-07-13 08:48:19,can0,5A0,1440,0180000000000000,108086391056891904
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,320,800,0000000000000069,105
2018-07-13 08:48:19,can0,322,802,0000030000000069,3298534883433
2018-07-13 08:48:19,can0,320,800,0000000000000069,105
2018-07-13 08:48:19,can0,5A0,1440,0180000000000000,108086391056891904
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,322,802,0000030000000069,3298534883433
2018-07-13 08:48:19,can0,322,802,0000030000000069,3298534883433
2018-07-13 08:48:19,can0,320,800,0000000000000069,105
2018-07-13 08:48:19,can0,280,640,490E00000E001B0E,5264145014677576462
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,320,800,0000000000000069,105
2018-07-13 08:48:19,can0,324,804,0000000000000069,105
2018-07-13 08:48:19,can0,324,804,0000000000000069,105
2018-07-13 08:48:19,can0,5A0,1440,0180000000000000,108086391056891904
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,320,800,0000000000000069,105
2018-07-13 08:48:19,can0,324,804,0000000000000069,105
2018-07-13 08:48:19,can0,320,800,0000000000000069,105
2018-07-13 08:48:19,can0,5A0,1440,0180000000000000,108086391056891904
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,320,800,0000000000000069,105
2018-07-13 08:48:19,can0,324,804,0000000000000069,105
2018-07-13 08:48:19,can0,1A0,416,0080000000000000,36028797018963968
2018-07-13 08:48:19,can0,5A0,1440,0180000000000000,108086391056891904
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,322,802,0000030000000069,3298534883433
2018-07-13 08:48:19,can0,322,802,0000030000000069,3298534883433
2018-07-13 08:48:19,can0,320,800,0000000000000069,105
2018-07-13 08:48:19,can0,3D0,976,0080000000000000,36028797018963968
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,320,800,0000000000000069,105
2018-07-13 08:48:19,can0,324,804,0000000000000069,105
2018-07-13 08:48:19,can0,320,800,0000000000000069,105
2018-07-13 08:48:19,can0,5A0,1440,0180000000000000,108086391056891904
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,322,802,0000030000000069,3298534883433
2018-07-13 08:48:19,can0,324,804,0000000000000069,105
2018-07-13 08:48:19,can0,1A0,416,0080000000000000,36028797018963968
2018-07-13 08:48:19,can0,5A0,1440,0180000000000000,108086391056891904
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,322,802,0000030000000069,3298534883433
2018-07-13 08:48:19,can0,320,800,0000000000000069,105
2018-07-13 08:48:19,can0,320,800,1A00FFA900020090,1873778546300813456
2018-07-13 08:48:19,can0,320,800,0000000000000069,105
2018-07-13 08:48:19,can0,280,640,490E00000E001B0E,5264145014677576462
2018-07-13 08:48:19,can0,727,1831,04010100020000,1127003713568768
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,324,804,0000000000000069,105
2018-07-13 08:48:19,can0,322,802,0000030000000069,3298534883433
2018-07-13 08:48:19,can0,322,802,0000030000000069,3298534883433
2018-07-13 08:48:19,can0,5A0,1440,0180000000000000,108086391056891904
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,322,802,0000030000000069,3298534883433
2018-07-13 08:48:19,can0,320,800,1A00FFA900040090,1873778546300944528
2018-07-13 08:48:19,can0,320,800,0000000000000069,105
2018-07-13 08:48:19,can0,5A0,1440,0180000000000000,108086391056891904
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,320,800,0000000000000069,105
2018-07-13 08:48:19,can0,322,802,0000030000000069,3298534883433
2018-07-13 08:48:19,can0,324,804,0000000000000069,105
2018-07-13 08:48:19,can0,5A0,1440,0180000000000000,108086391056891904
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,322,802,0000030000000069,3298534883433
2018-07-13 08:48:19,can0,320,800,0000000000000069,105
2018-07-13 08:48:19,can0,320,800,0000000000000069,105
2018-07-13 08:48:19,can0,5A0,1440,0180000000000000,108086391056891904
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:19,can0,320,800,0000000000000069,105
2018-07-13 08:48:19,can0,324,804,0000000000000069,105
2018-07-13 08:48:19,can0,324,804,0000000000000069,105
2018-07-13 08:48:20,can0,5A0,1440,0180000000000000,108086391056891904
2018-07-13 08:48:20,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:20,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:20,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:20,can0,322,802,0000030000000069,3298534883433
2018-07-13 08:48:20,can0,322,802,0000030000000069,3298534883433
2018-07-13 08:48:20,can0,324,804,0000000000000069,105
2018-07-13 08:48:20,can0,5A0,1440,0180000000000000,108086391056891904
2018-07-13 08:48:20,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:20,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:20,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:20,can0,322,802,0000030000000069,3298534883433
2018-07-13 08:48:20,can0,320,800,0000000000000069,105
2018-07-13 08:48:20,can0,320,800,0000000000000069,105
2018-07-13 08:48:20,can0,5A0,1440,0180000000000000,108086391056891904
2018-07-13 08:48:20,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:20,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:20,can0,320,800,0000000000000069,105
2018-07-13 08:48:20,can0,324,804,0000000000000069,105
2018-07-13 08:48:20,can0,324,804,0000000000000069,105
2018-07-13 08:48:20,can0,5A0,1440,0180000000000000,108086391056891904
2018-07-13 08:48:20,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:20,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:20,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:20,can0,322,802,0000030000000069,3298534883433
2018-07-13 08:48:20,can0,320,800,0000000000000069,105
2018-07-13 08:48:20,can0,322,802,0000030000000069,3298534883433
2018-07-13 08:48:20,can0,5A0,1440,0180000000000000,108086391056891904
2018-07-13 08:48:20,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:20,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:20,can0,322,802,0000030000000069,3298534883433
2018-07-13 08:48:20,can0,322,802,0000030000000069,3298534883433
2018-07-13 08:48:20,can0,1A0,416,0080000000000000,36028797018963968
2018-07-13 08:48:20,can0,5A0,1440,0180000000000000,108086391056891904
2018-07-13 08:48:20,can0,727,1831,04010100020000,1127003713568768
2018-07-13 08:48:20,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:20,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:20,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:20,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:20,can0,320,800,0000000000000069,105
2018-07-13 08:48:20,can0,324,804,0000000000000069,105
2018-07-13 08:48:20,can0,1A0,416,0080000000000000,36028797018963968
2018-07-13 08:48:20,can0,5A0,1440,0180000000000000,108086391056891904
2018-07-13 08:48:20,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:20,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:20,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:20,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:20,can0,320,800,0000000000000069,105
2018-07-13 08:48:20,can0,324,804,0000000000000069,105
2018-07-13 08:48:20,can0,1A0,416,0080000000000000,36028797018963968
2018-07-13 08:48:20,can0,5A0,1440,0180000000000000,108086391056891904
2018-07-13 08:48:20,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:20,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:20,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:20,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:20,can0,320,800,0000000000000069,105
2018-07-13 08:48:20,can0,324,804,0000000000000069,105
2018-07-13 08:48:20,can0,1A0,416,0080000000000000,36028797018963968
2018-07-13 08:48:20,can0,5A0,1440,0180000000000000,108086391056891904
2018-07-13 08:48:20,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:20,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:20,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:20,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:20,can0,320,800,0000000000000069,105
2018-07-13 08:48:20,can0,324,804,0000000000000069,105
2018-07-13 08:48:20,can0,3D0,976,0080000000000000,36028797018963968
2018-07-13 08:48:20,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:20,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:20,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:20,can0,324,804,0000000000000069,105
2018-07-13 08:48:20,can0,322,802,0000030000000069,3298534883433
2018-07-13 08:48:20,can0,320,800,0000000000000069,105
2018-07-13 08:48:20,can0,5A0,1440,0180000000000000,108086391056891904
2018-07-13 08:48:20,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:20,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:20,can0,322,802,0000030000000069,3298534883433
2018-07-13 08:48:20,can0,320,800,0000000000000069,105
2018-07-13 08:48:20,can0,1A0,416,0080000000000000,36028797018963968
2018-07-13 08:48:20,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:20,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:20,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:20,can0,320,800,0000000000000069,105
2018-07-13 08:48:20,can0,324,804,0000000000000069,105
2018-07-13 08:48:20,can0,322,802,0000030000000069,3298534883433
2018-07-13 08:48:20,can0,5A0,1440,0180000000000000,108086391056891904
2018-07-13 08:48:20,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:20,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:20,can0,322,802,0000030000000069,3298534883433
2018-07-13 08:48:20,can0,320,800,0000000000000069,105
2018-07-13 08:48:20,can0,3D0,976,0080000000000000,36028797018963968
2018-07-13 08:48:20,can0,5A0,1440,0180000000000000,108086391056891904
2018-07-13 08:48:20,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:20,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:20,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:20,can0,322,802,0000030000000069,3298534883433
2018-07-13 08:48:20,can0,322,802,0000030000000069,3298534883433
2018-07-13 08:48:20,can0,320,800,0000000000000069,105
2018-07-13 08:48:20,can0,3D0,976,0080000000000000,36028797018963968
2018-07-13 08:48:20,can0,5A0,1440,0180000000000000,108086391056891904
2018-07-13 08:48:20,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:20,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:20,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:20,can0,322,802,0000030000000069,3298534883433
2018-07-13 08:48:20,can0,322,802,0000030000000069,3298534883433
2018-07-13 08:48:20,can0,320,800,0000000000000069,105
2018-07-13 08:48:20,can0,3D0,976,0080000000000000,36028797018963968
2018-07-13 08:48:20,can0,320,800,1A00FFA900020090,1873778546300813456
2018-07-13 08:48:20,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:20,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:20,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:20,can0,322,802,0000030000000069,3298534883433
2018-07-13 08:48:20,can0,324,804,0000000000000069,105
2018-07-13 08:48:20,can0,322,802,0000030000000069,3298534883433
2018-07-13 08:48:20,can0,3D0,976,0080000000000000,36028797018963968
2018-07-13 08:48:20,can0,320,800,1A00FFA900030090,1873778546300878992
2018-07-13 08:48:20,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:20,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:20,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:20,can0,324,804,0000000000000069,105
2018-07-13 08:48:20,can0,324,804,0000000000000069,105
2018-07-13 08:48:20,can0,320,800,0000000000000069,105
2018-07-13 08:48:20,can0,3D0,976,0080000000000000,36028797018963968
2018-07-13 08:48:20,can0,320,800,1A00FFA900040090,1873778546300944528
2018-07-13 08:48:20,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:20,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:20,can0,1A0,416,0000000000000069,105
2018-07-13 08:48:20,can0,324,804,0000000000000069,105
2018-07-13 08:48:20,can0,324,804,0000000000000069,105
2018-07-13 08:48:20,can0,322,802,0000030000000069,3298534883433
2018-07-13 08:48:20,can0,322,802,0000030000000069,3298534883433
2018-07-13 08:48:20,can0,320,800,1A00FFA900050090,1873778546301010064
